# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	16526
#@/user_id	windows11-caoayu-pc-i512400
a 	啊	c=99 d=2.19152 t=16526
qing tui 	清退	c=6 d=0.597191 t=16526
qing wen 	请问	c=5 d=0.511709 t=16526
qing xian 	请先	c=1 d=0.000907334 t=16526
qing yong 	请用	c=1 d=7.03587e-12 t=16526
qiong 	穷	c=5 d=0.484378 t=16526
qiu 	求	c=1 d=0.000528747 t=16526
qu 	区	c=1 d=0.0547488 t=16526
qu 	去	c=27 d=1.02036 t=16526
qu 	取	c=5 d=1.01738 t=16526
qu ba 	去吧	c=5 d=1.13219 t=16526
qu bie 	区别	c=5 d=0.563277 t=16526
qu chong 	去重	c=1 d=0.0428521 t=16526
qu chu 	去除	c=5 d=0.494118 t=16526
qu chu 	取出	c=2 d=0.000266096 t=16526
qu dai 	取代	c=1 d=5.71501e-07 t=16526
qu diao 	去掉	c=3 d=0.0254765 t=16526
qu ge 	去个	c=1 d=0.878095 t=16526
qu ge chong 	去个重	c=1 d=0.0437178 t=16526
qu guo 	去过	c=2 d=0.00603608 t=16526
qu kan 	去看	c=1 d=0.111917 t=16526
qu le 	去了	c=1 d=0.372205 t=16526
qu le ma 	去了吗	c=1 d=0.932394 t=16526
qu na 	去哪	c=4 d=0.752014 t=16526
qu na 	去拿	c=1 d=4.99499e-11 t=16526
qu nian 	去年	c=4 d=0.551563 t=16526
qu qi 	取其	c=0 d=0.000116504 t=16526
qu qu 	区区	c=1 d=0.25284 t=16526
qu wo 	曲沃	c=2 d=0.238115 t=16526
qu xiao 	取消	c=4 d=0.527292 t=16526
qu yu 	区域	c=7 d=0.00178203 t=16526
qu zhao 	去找	c=2 d=0.97531 t=16526
quan 	全	c=2 d=0.00388746 t=16526
quan 	劝	c=1 d=0.571209 t=16526
quan 	权	c=1 d=0.0219278 t=16526
quan bu 	全部	c=2 d=4.80992e-08 t=16526
quan dou 	全都	c=1 d=0.00704808 t=16526
quan jiao 	全角	c=2 d=0.00909216 t=16526
quan ju 	全局	c=10 d=3.11084 t=16526
quan liang 	全量	c=1 d=0.0139818 t=16526
quan shi 	全市	c=1 d=0.031273 t=16526
quan shi 	全是	c=1 d=0.119433 t=16526
quan xian 	权限	c=8 d=0.412962 t=16526
que ding 	确定	c=5 d=0.869358 t=16526
que qian 	缺钱	c=1 d=0.000235217 t=16526
que ren 	确认	c=1 d=0.0780817 t=16526
que shi 	确实	c=11 d=0.477114 t=16526
qun 	群	c=3 d=0.869358 t=16526
qun li 	群里	c=3 d=0.373439 t=16526
qun zhu 	群主	c=2 d=0.0216013 t=16526
qun zu 	群组	c=3 d=0.427415 t=16526
ran hou 	然后	c=17 d=0.278116 t=16526
ran hou ne 	然后呢	c=1 d=1.03901e-09 t=16526
ran ta 	然她	c=1 d=0.00690852 t=16526
rang 	让	c=9 d=0.0925506 t=16526
rang ni 	让你	c=2 d=0.0131492 t=16526
rang ta 	让他	c=11 d=0.486752 t=16526
rang ta 	让她	c=2 d=0.000166586 t=16526
rang ta men 	让他们	c=1 d=0.0129715 t=16526
rang wo 	让我	c=5 d=0.101043 t=16526
re 	热	c=1 d=0.172907 t=16526
re ai 	热爱	c=1 d=1.14019e-14 t=16526
re le 	热了	c=1 d=0.00232276 t=16526
re shui 	热水	c=2 d=0.839457 t=16526
re sou 	热搜	c=1 d=0.00170362 t=16526
ren 	人	c=22 d=1.20255 t=16526
ren duo 	人多	c=1 d=3.21532e-05 t=16526
ren hai 	人还	c=0 d=0.0323033 t=16526
ren hai xing 	人还行	c=1 d=0.324652 t=16526
ren ji 	人挤	c=0 d=2.57369e-05 t=16526
ren ji ren 	人挤人	c=1 d=0.000258659 t=16526
ren jia 	人家	c=10 d=0.486773 t=16526
ren shi 	认识	c=1 d=3.03642e-08 t=16526
ren shu 	人数	c=1 d=0.000253537 t=16526
ren wu 	任务	c=8 d=0.745192 t=16526
ren yuan 	人员	c=6 d=1.19964 t=16526
ren zheng 	认证	c=3 d=0.0228227 t=16526
ri 	日	c=6 d=1.11833 t=16526
ri qi 	日期	c=7 d=1.39542 t=16526
ri yu 	日语	c=1 d=0.0017643 t=16526
ri zhi 	日志	c=15 d=1.24443 t=16526
ri zi 	日子	c=1 d=0.0199405 t=16526
rong qi 	容器	c=1 d=5.21053e-08 t=16526
rong yao 	荣耀	c=1 d=0.0450492 t=16526
rong yi 	容易	c=3 d=0.0434998 t=16526
ru 	如	c=4 d=0.00555762 t=16526
ru ci 	如此	c=3 d=0.13466 t=16526
ru de 	入的	c=0 d=8.39886e-08 t=16526
ru de zhi 	入的职	c=2 d=1.71826e-06 t=16526
ru gu 	入股	c=2 d=0.0342181 t=16526
ru guo 	如果	c=22 d=0.343854 t=16526
ru guo shi 	如果是	c=1 d=0.0256042 t=16526
ru he 	如何	c=2 d=6.74255e-12 t=16526
ru men 	入门	c=1 d=4.2874e-08 t=16526
ru xia 	如下	c=1 d=1.97623e-14 t=16526
ruan 	软	c=1 d=0.00153381 t=16526
ruan jian 	软件	c=11 d=0.782712 t=16526
ruan wo 	软卧	c=1 d=9.52363e-15 t=16526
ruan ying wo 	软硬卧	c=1 d=0.00051312 t=16526
ruo hua 	弱化	c=1 d=1.43753e-05 t=16526
ruo yi 	若依	c=1 d=0.000174253 t=16526
sa fei 	萨菲	c=0 d=0.00146986 t=16526
sai 	塞	c=1 d=0.694197 t=16526
sai 	赛	c=2 d=0.980199 t=16526
sai hao 	赛豪	c=2 d=6.09013e-08 t=16526
sai ji 	赛季	c=1 d=0.00307331 t=16526
san 	三	c=3 d=0.236928 t=16526
san dian 	三点	c=1 d=0.000504176 t=16526
san dian ban 	三点半	c=1 d=0.733447 t=16526
san dian le 	三点了	c=1 d=0.00506703 t=16526
san nian 	三年	c=1 d=0.00267181 t=16526
san san 	散散	c=1 d=0.00334597 t=16526
san si 	三四	c=0 d=0.0305746 t=16526
san si ge yue 	三四个月	c=1 d=0.307279 t=16526
san ti 	三体	c=3 d=0.014026 t=16526
san ti 	散体	c=1 d=0.000146278 t=16526
san tian 	三天	c=1 d=0.860708 t=16526
san xi 	散席	c=1 d=0.0222592 t=16526
san yue 	三月	c=1 d=1.74313e-08 t=16526
sang shi 	丧事	c=1 d=0.0221482 t=16526
sao 	骚	c=1 d=0.00618889 t=16526
sao cao zuo 	骚操作	c=1 d=2.96811e-05 t=16526
sao chu lai 	扫出来	c=1 d=0.108067 t=16526
sao fu 	骚妇	c=1 d=0.00694315 t=16526
sao ma 	扫码	c=1 d=0.344728 t=16526
se qing 	色情	c=1 d=1.618e-14 t=16526
sha 	啥	c=37 d=1.88978 t=16526
sha dong xi 	啥东西	c=1 d=0.000280202 t=16526
sha dou you 	啥都有	c=1 d=4.84572e-07 t=16526
sha dou zhi dao 	啥都知道	c=1 d=0.122456 t=16526
sha gua 	啥卦	c=1 d=0.276651 t=16526
sha jiao 	啥叫	c=1 d=0.162838 t=16526
sha la 	沙拉	c=2 d=0.343009 t=16526
sha le 	杀了	c=1 d=0.222017 t=16526
sha pai 	啥牌	c=1 d=7.61797e-06 t=16526
sha shi 	啥事	c=3 d=0.273898 t=16526
sha shi 	啥是	c=2 d=0.373439 t=16526
sha shi hou 	啥时候	c=2 d=0.00690852 t=16526
sha yang 	啥样	c=2 d=0.0138427 t=16526
sha ye bu shi 	啥也不是	c=1 d=3.0585e-05 t=16526
sha yi si 	啥意思	c=3 d=0.0780871 t=16526
sha zi 	啥子	c=1 d=1.04422e-09 t=16526
shai xuan 	筛选	c=2 d=0.00985349 t=16526
shan 	删	c=5 d=0.985604 t=16526
shan 	姗	c=3 d=0.509156 t=16526
shan chu 	删除	c=19 d=1.69097 t=16526
shan diao 	删掉	c=1 d=0.000338834 t=16526
shan jie 	姗姐	c=3 d=1.00582 t=16526
shan le 	删了	c=3 d=0.847894 t=16526
shan qu 	扇区	c=1 d=0.000953854 t=16526
shang 	上	c=31 d=1.76086 t=16526
shang ban 	上班	c=6 d=0.30776 t=16526
shang ban nian 	上半年	c=1 d=8.69802e-07 t=16526
shang bang 	上榜	c=1 d=0.000958635 t=16526
shang bu qu 	上不去	c=1 d=0.00634556 t=16526
shang cheng 	商城	c=7 d=0.300453 t=16526
shang chuan 	上传	c=13 d=0.503339 t=16526
shang ci 	上次	c=7 d=0.103022 t=16526
shang dian 	商店	c=2 d=0.225373 t=16526
shang ge 	上个	c=1 d=0.00109172 t=16526
shang hai 	上海	c=1 d=0.0106202 t=16526
shang hai 	伤害	c=3 d=0.00950211 t=16526
shang hai wo 	伤害我	c=1 d=0.0357931 t=16526
shang jia 	上家	c=1 d=0.980199 t=16526
shang jia 	商家	c=1 d=6.98033e-07 t=16526
shang jiao 	上交	c=1 d=0.00697795 t=16526
shang jun 	尚峻	c=1 d=0.00540733 t=16526
shang lai 	上来	c=1 d=0.210136 t=16526
shang liang 	商量	c=1 d=0.0889216 t=16526
shang men 	上门	c=1 d=0.71177 t=16526
shang mian 	上面	c=8 d=1.12413 t=16526
shang ming 	上明	c=1 d=0.540641 t=16526
shang pin 	商品	c=5 d=0.025223 t=16526
shang qiu 	商丘	c=6 d=2.30909 t=16526
shang qu 	上去	c=1 d=0.141564 t=16526
shang qu le 	上去了	c=1 d=8.02792e-05 t=16526
shang shi 	上市	c=1 d=0.163654 t=16526
shang wang 	上网	c=1 d=0.771052 t=16526
shang wu 	上午	c=1 d=0.00506703 t=16526
shang xian 	上线	c=1 d=0.121846 t=16526
shang xue 	上学	c=1 d=0.23457 t=16526
shang yi ge 	上一个	c=2 d=3.77321e-05 t=16526
shang zhou 	上周	c=1 d=0.0140519 t=16526
shao 	少	c=5 d=0.0902655 t=16526
shao 	烧	c=1 d=0.609571 t=16526
shao de 	烧得	c=1 d=2.67226e-05 t=16526
shao deng 	稍等	c=3 d=0.00465413 t=16526
shao fu zhu 	烧腐竹	c=1 d=0.0028799 t=16526
shao ge 	少个	c=1 d=0.120633 t=16526
shao ji 	烧鸡	c=1 d=7.41575e-13 t=16526
shao kao 	烧烤	c=1 d=1.5081e-10 t=16526
shao le 	少了	c=3 d=0.00203664 t=16526
shao shui 	烧水	c=1 d=0.00260584 t=16526
shao xie 	少些	c=1 d=0.105399 t=16526
she 	设	c=0 d=6.17396e-05 t=16526
she bei 	设备	c=5 d=0.597839 t=16526
she hui 	社会	c=0 d=2.3348e-06 t=16526
she hui in 	社会㏌	c=1 d=2.3465e-05 t=16526
she ji 	设计	c=5 d=0.739229 t=16526
she jiao 	社交	c=1 d=0.315058 t=16526
she nm 	设㎚	c=1 d=0.00255424 t=16526
she qu 	社区	c=2 d=0.210393 t=16526
she qu ban 	社区版	c=1 d=0.19398 t=16526
she yi si 	设意思	c=1 d=0.000620491 t=16526
she zhi 	设置	c=32 d=1.81011 t=16526
she zhi cheng 	设置成	c=0 d=0.00117959 t=16526
she zhi xiang 	设置项	c=1 d=5.55951e-06 t=16526
shei 	谁	c=2 d=0.0261846 t=16526
shei hui 	谁会	c=1 d=0.154124 t=16526
shei shuo 	谁说	c=1 d=3.61651e-06 t=16526
shei shuo de 	谁说的	c=1 d=0.127454 t=16526
shei xin 	谁信	c=1 d=0.00690852 t=16526
shei zai 	谁在	c=1 d=0.390628 t=16526
shei zuo de 	谁做的	c=1 d=0.263158 t=16526
shen 	神	c=1 d=0.1764 t=16526
shen 	身	c=0 d=3.3379e-05 t=16526
shen fen 	身份	c=2 d=0.329729 t=16526
shen fen zhang 	身份张	c=1 d=0.421052 t=16526
shen fen zheng 	身份证	c=9 d=2.63353 t=16526
shen he 	审核	c=11 d=0.0361886 t=16526
shen me 	什么	c=59 d=2.24858 t=16526
shen me de 	什么的	c=1 d=0.060205 t=16526
shen pi 	审批	c=23 d=0.859531 t=16526
shen qing 	申请	c=10 d=0.722578 t=16526
shen shang 	身上	c=1 d=0.0205478 t=16526
shen ti 	身体	c=2 d=0.447177 t=16526
shen xian shui 	神仙水	c=1 d=0.000523486 t=16526
shen zhen 	深圳	c=1 d=3.81113e-05 t=16526
shen zhi 	甚至	c=1 d=0.329559 t=16526
sheng 	升	c=2 d=0.00191125 t=16526
sheng 	晟	c=0 d=0.0024234 t=16526
sheng 	生	c=2 d=0.0199196 t=16526
sheng chan 	生产	c=1 d=1.13099e-07 t=16526
sheng cheng 	生成	c=11 d=0.838952 t=16526
sheng fen 	省份	c=1 d=0.000916453 t=16526
sheng huo 	生活	c=1 d=0.436049 t=16526
sheng ji 	升级	c=5 d=0.01649 t=16526
sheng ke si 	晟科思	c=1 d=0.0243554 t=16526
sheng le 	升了	c=1 d=2.99998e-13 t=16526
sheng le 	生了	c=1 d=4.34022e-05 t=16526
sheng ming 	声明	c=2 d=0.10435 t=16526
sheng qi 	生气	c=0 d=0.00308074 t=16526
sheng qu 	省去	c=1 d=0.0109436 t=16526
sheng shi 	省事	c=1 d=0.060205 t=16526
sheng xia 	剩下	c=1 d=2.50409e-05 t=16526
sheng xiao 	生效	c=1 d=1.68753e-09 t=16526
sheng ya 	生涯	c=1 d=4.38608e-11 t=16526
sheng yin 	声音	c=2 d=0.000450283 t=16526
sheng zhe dian 	省着点	c=1 d=1.20134e-11 t=16526
shi 	事	c=9 d=0.536605 t=16526
shi 	使	c=1 d=0.00296761 t=16526
shi 	失	c=1 d=0.763379 t=16526
shi 	市	c=1 d=0.054204 t=16526
shi 	时	c=10 d=0.0780817 t=16526
shi 	是	c=251 d=5.90313 t=16526
shi 	氏	c=1 d=0.40657 t=16526
shi 	试	c=6 d=0.820008 t=16526
shi a 	是啊	c=1 d=0.00460782 t=16526
shi ba 	是吧	c=22 d=1.00554 t=16526
shi ba 	是把	c=1 d=0.0788664 t=16526
shi bai 	失败	c=10 d=0.408608 t=16526
shi bie 	识别	c=4 d=0.20089 t=16526
shi bu 	使不	c=0 d=0.000162053 t=16526
shi bu dao 	使不到	c=1 d=0.00162866 t=16526
shi bu shi 	是不是	c=17 d=1.05125 t=16526
shi ca 	时擦	c=0 d=2.84533e-09 t=16526
shi ca hang 	时擦行	c=1 d=2.8596e-08 t=16526
shi chang 	时长	c=1 d=2.88834e-08 t=16526
shi dang 	适当	c=1 d=3.16196e-14 t=16526
shi de 	似的	c=3 d=0.0120119 t=16526
shi de 	使得	c=2 d=0.531194 t=16526
shi de 	是的	c=5 d=0.491644 t=16526
shi dian 	十点	c=1 d=1.95019e-05 t=16526
shi dian duo 	十点多	c=1 d=0.0395575 t=16526
shi fan 	师范	c=1 d=0.00227676 t=16526
shi fan 	示范	c=1 d=0.00226541 t=16526
shi fen zhi yi 	十分之一	c=1 d=0.0359725 t=16526
shi fen zhong 	十分钟	c=2 d=0.00878352 t=16526
shi fou 	是否	c=6 d=0.360502 t=16526
shi ge 	时隔	c=1 d=0.00160441 t=16526
shi he 	适合	c=1 d=0.0520787 t=16526
shi hou 	时候	c=37 d=1.3616 t=16526
shi hua shuo 	实话说	c=1 d=0.0066709 t=16526
shi ji 	世纪	c=5 d=5.52365e-05 t=16526
shi ji 	实际	c=3 d=0.414783 t=16526
shi ji wan 	十几万	c=1 d=0.408608 t=16526
shi jian 	事件	c=4 d=0.00318807 t=16526
shi jian 	时间	c=50 d=2.39958 t=16526
shi jian chuo 	时间戳	c=1 d=0.000189713 t=16526
shi jie 	世界	c=2 d=0.00647375 t=16526
shi kuai qian 	十块钱	c=2 d=0.454135 t=16526
shi li 	实例	c=1 d=0.00486835 t=16526
shi li 	实力	c=1 d=0.00848038 t=16526
shi li 	市里	c=1 d=0.000495472 t=16526
shi ma 	是吗	c=8 d=0.759572 t=16526
shi na 	是哪	c=0 d=3.99619e-05 t=16526
shi na ge 	是哪个	c=2 d=0.000401622 t=16526
shi na xie 	是那些	c=1 d=7.65746e-08 t=16526
shi pei 	适配	c=4 d=3.64398e-05 t=16526
shi pin 	视频	c=22 d=1.63574 t=16526
shi qing 	事情	c=1 d=0.319819 t=16526
shi qu 	时区	c=1 d=0.26982 t=16526
shi sha 	是啥	c=1 d=0.289384 t=16526
shi shi 	实施	c=2 d=0.0647247 t=16526
shi shi 	试试	c=19 d=0.961183 t=16526
shi sui 	十岁	c=1 d=0.000113922 t=16526
shi ta 	是他	c=0 d=0.0337902 t=16526
shi tu 	试图	c=1 d=0.414783 t=16526
shi wo 	使我	c=2 d=0.00196945 t=16526
shi wu 	事务	c=3 d=0.142383 t=16526
shi wu 	食物	c=1 d=4.19094e-05 t=16526
shi xia 	试下	c=1 d=0.0378169 t=16526
shi xian 	实现	c=12 d=0.774916 t=16526
shi xiang 	事项	c=3 d=0.0295994 t=16526
shi xiao 	失效	c=2 d=0.0898153 t=16526
shi yan shi 	实验室	c=10 d=2.38176 t=16526
shi yao 	是要	c=1 d=2.68749e-13 t=16526
shi ye 	失业	c=1 d=0.0023935 t=16526
shi yi 	十一	c=1 d=0.467666 t=16526
shi yi dian 	十一点	c=2 d=0.000387808 t=16526
shi yong 	使用	c=33 d=1.61185 t=16526
shi yong 	实用	c=0 d=0.0491644 t=16526
shi yong 	试用	c=1 d=0.000269215 t=16526
shi yong qi 	试用期	c=1 d=0.186374 t=16526
shi yong she zhi 	实用设置	c=1 d=0.494109 t=16526
shi you 	失右	c=1 d=0.00381048 t=16526
shi zai 	是在	c=1 d=0.0415857 t=16526
shi zhe 	试着	c=1 d=3.44963e-09 t=16526
shi zhe ge 	是这个	c=1 d=0.000430743 t=16526
shi zhe yang 	是这样	c=2 d=0.0405589 t=16526
shou 	手	c=3 d=0.847894 t=16526
shou 	收	c=3 d=0.306724 t=16526
shou 	首	c=2 d=0.000720907 t=16526
shou bu dao 	收不到	c=2 d=0.112579 t=16526
shou ce 	手册	c=1 d=7.32176e-10 t=16526
shou chong 	首冲	c=1 d=1.40567e-06 t=16526
shou ci 	首次	c=1 d=0.000742862 t=16526
shou dao 	收到	c=4 d=0.683861 t=16526
shou de 	授的	c=1 d=0.0218184 t=16526
shou dong 	手动	c=15 d=0.729207 t=16526
shou duo 	首夺	c=0 d=3.42239e-05 t=16526
shou duo na ge 	首夺那个	c=1 d=0.000343955 t=16526
shou fei 	收费	c=5 d=0.00448313 t=16526
shou fei ma 	收费吗	c=1 d=1.6794e-11 t=16526
shou hao 	手好	c=0 d=0.00119145 t=16526
shou hao kan 	手好看	c=1 d=0.0119742 t=16526
shou hu 	守护	c=1 d=0.279431 t=16526
shou huo 	收获	c=1 d=0.311923 t=16526
shou huo 	收货	c=2 d=0.313486 t=16526
shou huo ren 	收货人	c=5 d=0.841213 t=16526
shou ji 	手机	c=10 d=0.70118 t=16526
shou ji duan 	手机端	c=2 d=0.0593087 t=16526
shou ji hao 	手机号	c=4 d=0.369723 t=16526
shou kuan 	收款	c=1 d=0.025223 t=16526
shou le 	受了	c=1 d=0.0564161 t=16526
shou le 	收了	c=2 d=0.0566989 t=16526
shou quan 	授权	c=16 d=1.40263 t=16526
shou quan hou 	授权后	c=1 d=0.0280154 t=16526
shou shi 	收拾	c=5 d=1.80949 t=16526
shou shi in 	收拾㏌	c=1 d=2.61935e-05 t=16526
shou shi wan 	收拾玩	c=1 d=1.12884e-14 t=16526
shou tao 	手套	c=1 d=0.0706512 t=16526
shou tou 	手头	c=1 d=0.438235 t=16526
shou xian 	首先	c=1 d=0.0139818 t=16526
shou zhang 	手掌	c=1 d=0.00594622 t=16526
shou zhi 	收支	c=1 d=0.011109 t=16526
shu 	书	c=3 d=0.715338 t=16526
shu 	数	c=2 d=0.000944363 t=16526
shu 	竖	c=2 d=0.0278757 t=16526
shu 	输	c=1 d=0.937067 t=16526
shu biao 	鼠标	c=5 d=0.900325 t=16526
shu chu 	输出	c=2 d=0.423162 t=16526
shu hua 	束花	c=0 d=0.000625109 t=16526
shu ju 	数据	c=24 d=1.33916 t=16526
shu ju ku 	数据库	c=12 d=0.723816 t=16526
shu liang 	数量	c=1 d=0.628135 t=16526
shu qing 	抒情	c=1 d=6.74254e-11 t=16526
shu ru 	输入	c=7 d=0.00825306 t=16526
shu ru fa 	输入法	c=1 d=1.95557e-08 t=16526
shu xi 	熟悉	c=3 d=0.051098 t=16526
shu xiang 	书香	c=1 d=0.00843808 t=16526
shu xing 	属性	c=4 d=0.66365 t=16526
shu xing ming 	输姓名	c=1 d=0.00848038 t=16526
shu xue 	数学	c=1 d=0.00577048 t=16526
shu ye 	树叶	c=1 d=0.640824 t=16526
shu ye 	输液	c=2 d=1.42674 t=16526
shu yu 	属于	c=2 d=5.77146e-05 t=16526
shu zhe 	竖着	c=1 d=4.88178e-06 t=16526
shu zhi 	数值	c=0 d=1.9258e-05 t=16526
shu zi 	数字	c=2 d=0.000225048 t=16526
shu zu 	数组	c=3 d=0.631284 t=16526
shua 	刷	c=2 d=0.663664 t=16526
shua guo 	刷过	c=1 d=0.000332125 t=16526
shua xia 	刷下	c=1 d=0.371577 t=16526
shua xin 	刷新	c=7 d=0.211819 t=16526
shuai 	帅	c=4 d=2.80128 t=16526
shuai 	甩	c=2 d=0.382378 t=16526
shuang 	双	c=2 d=0.621885 t=16526
shuang 	爽	c=2 d=0.162026 t=16526
shuang jian 	双肩	c=1 d=8.12959e-06 t=16526
shuang pin 	双拼	c=1 d=0.000137073 t=16526
shuang shuang 	双双	c=1 d=0.17552 t=16526
shuang si 	爽死	c=0 d=6.49271e-09 t=16526
shuang si le 	爽死了	c=1 d=6.52526e-08 t=16526
shuang yin hao 	双引号	c=3 d=0.913696 t=16526
shuang yu 	双语	c=2 d=7.81427e-10 t=16526
shui 	水	c=6 d=0.111814 t=16526
shui 	睡	c=4 d=0.470011 t=16526
shui 	谁	c=1 d=0.467666 t=16526
shui ba 	睡吧	c=5 d=1.49025 t=16526
shui dao 	睡到	c=1 d=2.24325e-05 t=16526
shui de 	睡得	c=1 d=0.00532682 t=16526
shui ge 	睡个	c=1 d=0.144424 t=16526
shui guo 	水果	c=1 d=3.4059e-06 t=16526
shui hui 	睡会	c=2 d=0.44782 t=16526
shui huo 	水货	c=1 d=0.00909528 t=16526
shui jiao 	睡觉	c=7 d=2.49711 t=16526
shui jiao ao 	睡觉奥	c=1 d=0.460704 t=16526
shui le 	睡了	c=2 d=0.224249 t=16526
shui ne 	谁呢	c=1 d=0.000181365 t=16526
shui ping 	水平	c=1 d=0.19593 t=16526
shui sha 	睡啥	c=1 d=3.38189e-11 t=16526
shui xi 	水洗	c=1 d=0.0114473 t=16526
shui yin 	水印	c=1 d=0.00708341 t=16526
shui zhao 	睡着	c=1 d=0.145876 t=16526
shui zhe me 	睡这么	c=1 d=1.16544e-07 t=16526
shun feng 	顺丰	c=1 d=0.941765 t=16526
shuo 	说	c=26 d=1.02342 t=16526
shuo cheng 	说成	c=1 d=0.895834 t=16526
shuo de 	说的	c=6 d=0.0150431 t=16526
shuo ge 	说个	c=0 d=0.000551656 t=16526
shuo ge sha 	说个啥	c=1 d=0.00554422 t=16526
shuo guo 	说过	c=1 d=0.726149 t=16526
shuo hua 	说话	c=2 d=0.0127147 t=16526
shuo le 	说了	c=4 d=0.591656 t=16526
shuo ming 	说明	c=13 d=1.51843 t=16526
shuo ming tai 	说明台	c=1 d=0.637628 t=16526
shuo ne 	说呢	c=0 d=9.12037e-07 t=16526
shuo po 	说破	c=0 d=3.20756e-07 t=16526
shuo po de 	说破的	c=1 d=3.22364e-06 t=16526
shuo sha 	说啥	c=1 d=0.142987 t=16526
shuo shi 	说是	c=2 d=0.491222 t=16526
shuo shuo 	说说	c=2 d=0.408608 t=16526
shuo ting 	说停	c=1 d=0.0122773 t=16526
shuo xia 	说下	c=1 d=0.00577048 t=16526
shuo yi sheng 	说一声	c=1 d=9.42887e-15 t=16526
shuo yi xia 	说一下	c=1 d=7.73311e-06 t=16526
si 	司	c=1 d=1.28202e-11 t=16526
si 	四	c=1 d=8.27804e-13 t=16526
si 	死	c=0 d=1.9549e-05 t=16526
si 	私	c=0 d=5.36738e-05 t=16526
si cong 	思聪	c=1 d=0.13332 t=16526
si dian ban 	四点半	c=1 d=0.155673 t=16526
si dong fei dong 	似懂非懂	c=0 d=0.0062662 t=16526
si dong fei dong shi 	似懂非懂是	c=1 d=0.0629761 t=16526
si fa wo 	私发我	c=1 d=0.000539429 t=16526
si hu 	似乎	c=1 d=0.000713734 t=16526
si kao 	思考	c=2 d=2.29633e-10 t=16526
si le 	死了	c=1 d=0.00152616 t=16526
si lie 	撕裂	c=1 d=0.00364281 t=16526
si ren 	死人	c=1 d=0.677057 t=16526
si she wu ru 	四舍五入	c=1 d=0.00278085 t=16526
si wei 	思维	c=2 d=1.0431e-13 t=16526
si xin 	私信	c=1 d=1.39263e-14 t=16526
si ye cao 	四叶草	c=4 d=0.00431551 t=16526
si you 	私有	c=1 d=1.74372e-12 t=16526
song 	送	c=5 d=0.628135 t=16526
song ge 	送个	c=1 d=0.159614 t=16526
song sha 	送啥	c=1 d=0.000495472 t=16526
song wo 	送我	c=1 d=9.00631e-05 t=16526
sou 	搜	c=4 d=0.941915 t=16526
sou chu 	搜出	c=0 d=4.74977e-08 t=16526
sou chu lai 	搜出来	c=1 d=4.77358e-07 t=16526
sou dao 	搜到	c=1 d=9.78833e-14 t=16526
sou suo 	搜索	c=7 d=0.306613 t=16526
su du 	速度	c=4 d=1.31748 t=16526
su du fa 	速读法	c=0 d=0.00146986 t=16526
su du fa de sa fei 	速读法的萨菲	c=1 d=0.0147723 t=16526
su zhu ji 	宿主机	c=1 d=0.00017956 t=16526
suan 	算	c=3 d=0.513326 t=16526
suan 	酸	c=2 d=0.529935 t=16526
suan le 	算了	c=6 d=0.22095 t=16526
sui bian 	随便	c=6 d=0.33454 t=16526
sui bian shuo 	随便说	c=0 d=3.65224e-05 t=16526
sui dao 	隧道	c=2 d=0.0411684 t=16526
sun 	孙	c=1 d=0.000115643 t=16526
sun shi 	损失	c=2 d=0.677753 t=16526
suo 	锁	c=7 d=0.142183 t=16526
suo yi 	所以	c=3 d=0.150318 t=16526
suo yin 	索引	c=7 d=1.13634 t=16526
suo you 	所有	c=11 d=0.704723 t=16526
suo zai 	所在	c=4 d=0.32219 t=16526
ta 	他	c=46 d=1.24256 t=16526
ta 	她	c=9 d=0.927743 t=16526
ta 	它	c=2 d=0.00530026 t=16526
ta de 	他的	c=1 d=0.00197932 t=16526
ta jie 	她姐	c=1 d=7.44785e-05 t=16526
ta jiu 	他就	c=0 d=0.000386807 t=16526
ta lia 	他俩	c=1 d=0.000703108 t=16526
ta ma 	他妈	c=1 d=0.151072 t=16526
ta men 	他们	c=28 d=1.66019 t=16526
ta ren 	他人	c=1 d=1.06567e-13 t=16526
ta shi 	他是	c=4 d=0.66365 t=16526
ta shi bu hui 	他是不会	c=1 d=0.00733572 t=16526
ta yao 	他要	c=0 d=0.004573 t=16526
ta yao ba 	他要把	c=1 d=0.00013845 t=16526
ta yao shi 	他要是	c=1 d=0.0459593 t=16526
ta ye 	他也	c=1 d=0.125556 t=16526
ta yi jing 	他已经	c=1 d=1.05435e-05 t=16526
ta you 	他有	c=1 d=0.431711 t=16526
ta zai 	他在	c=1 d=0.00163682 t=16526
ta zhi 	他只	c=0 d=0.00658748 t=16526
ta zhi neng 	他只能	c=1 d=0.066205 t=16526
tai 	台	c=2 d=0.0125715 t=16526
tai 	太	c=8 d=1.07629 t=16526
tai cai 	台菜	c=1 d=0.00029902 t=16526
tai cha 	太差	c=1 d=0.00843808 t=16526
tai chang 	太常	c=3 d=0.650509 t=16526
tai da 	太大	c=2 d=0.0409825 t=16526
tai du 	态度	c=1 d=0.028297 t=16526
tai duo 	太多	c=4 d=0.384812 t=16526
tai duo e 	太多额	c=1 d=0.00210172 t=16526
tai gao 	太高	c=1 d=0.00810722 t=16526
tai gui le 	太贵了	c=1 d=0.283654 t=16526
tai jian dan 	太简单	c=1 d=2.17732e-07 t=16526
